Date,Time,Facility,Error
15-JUN-22,10:56:58,PRIO-063,Bad I/O asg: rack 89 slot 1
15-JUN-22,10:56:56,SRVO-407,"DCS SSO Fence Open 1,1"
15-JUN-22,10:12:50,PRIO-063,Bad I/O asg: rack 89 slot 1
15-JUN-22,10:12:50,SRVO-407,"DCS SSO Fence Open 1,1"
15-JUN-22,08:40:40,SRVO-407,"DCS SSO Fence Open 1,1"
15-JUN-22,08:40:40,SRVO-199,Controlled Stop
15-JUN-22,08:40:38,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,08:38:46,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,08:38:46,PRIO-063,Bad I/O asg: rack 89 slot 1
15-JUN-22,08:37:12,SRVO-407,"DCS SSO Fence Open 1,1"
15-JUN-22,08:37:12,SRVO-199,Controlled Stop
15-JUN-22,08:37:12,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,08:13:04,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,08:13:02,PRIO-063,Bad I/O asg: rack 89 slot 1
15-JUN-22,08:12:48,PRIO-063,Bad I/O asg: rack 89 slot 1
15-JUN-22,08:12:48,SRVO-407,"DCS SSO Fence Open 1,1"
15-JUN-22,08:10:32,SRVO-407,"DCS SSO Fence Open 1,1"
15-JUN-22,08:10:32,SRVO-199,Controlled Stop
15-JUN-22,08:10:30,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,08:03:56,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,08:03:56,PRIO-063,Bad I/O asg: rack 89 slot 1
15-JUN-22,08:03:52,FILE-078,Auto backup complete
15-JUN-22,08:01:02,SRVO-407,"DCS SSO Fence Open 1,1"
15-JUN-22,08:01:02,SRVO-199,Controlled Stop
15-JUN-22,08:01:02,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,08:00:00,FILE-077,Auto backup start (MC:\PROG\)
15-JUN-22,07:34:00,SEAL-349,Proc logger process_id not found (E2)
15-JUN-22,07:34:00,SEAL-270,Flow command above maximum (E2)
15-JUN-22,07:33:58,SRVO-171,MotorSpd lim/DVC(G:1 A:3)
15-JUN-22,07:33:58,SEAL-349,Proc logger process_id not found (E2)
15-JUN-22,07:33:54,SEAL-270,Flow command above maximum (E2)
15-JUN-22,07:33:46,MOTN-200,"(S012SD01, 420) Too long anticipate time"
15-JUN-22,07:33:38,MOTN-200,"(S012SD01, 378) Too long anticipate time"
15-JUN-22,07:33:36,MOTN-200,"(S012SD01, 359) Too long anticipate time"
15-JUN-22,07:33:34,MOTN-200,"(S012SD01, 345) Too long anticipate time"
15-JUN-22,07:33:34,MOTN-200,"(S012SD01, 336) Too long anticipate time"
15-JUN-22,07:33:32,MOTN-200,"(S012SD01, 329) Too long anticipate time"
15-JUN-22,07:33:28,MOTN-200,"(S012SD01, 283) Too long anticipate time"
15-JUN-22,07:33:20,MOTN-200,"(S012SD01, 252) Too long anticipate time"
15-JUN-22,07:33:20,MOTN-200,"(S012SD01, 244) Too long anticipate time"
15-JUN-22,07:33:16,MOTN-200,"(S012SD01, 208) Too long anticipate time"
15-JUN-22,07:33:08,MOTN-200,"(S012SD01, 185) Too long anticipate time"
15-JUN-22,07:33:04,MOTN-200,"(S012SD01, 156) Too long anticipate time"
15-JUN-22,07:33:00,MOTN-200,"(S012SD01, 117) Too long anticipate time"
15-JUN-22,07:32:54,MOTN-200,"(S012SD01, 76) Too long anticipate time"
15-JUN-22,07:32:54,MOTN-200,"(S012SD01, 75) Too long anticipate time"
15-JUN-22,07:32:52,MOTN-056,Speed limits used (G:1)
15-JUN-22,07:32:50,MOTN-056,Speed limits used (G:1)
15-JUN-22,07:32:26,SYST-014,Program select failed
15-JUN-22,07:25:16,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,07:23:44,SEAL-349,Proc logger process_id not found (E2)
15-JUN-22,07:23:42,SEAL-270,Flow command above maximum (E2)
15-JUN-22,07:23:40,SRVO-171,MotorSpd lim/DVC(G:1 A:3)
15-JUN-22,07:23:40,SEAL-349,Proc logger process_id not found (E2)
15-JUN-22,07:23:38,SEAL-270,Flow command above maximum (E2)
15-JUN-22,07:23:30,MOTN-200,"(S012SD01, 420) Too long anticipate time"
15-JUN-22,07:23:20,MOTN-200,"(S012SD01, 378) Too long anticipate time"
15-JUN-22,07:23:18,MOTN-200,"(S012SD01, 359) Too long anticipate time"
15-JUN-22,07:23:16,MOTN-200,"(S012SD01, 345) Too long anticipate time"
15-JUN-22,07:23:16,MOTN-200,"(S012SD01, 336) Too long anticipate time"
15-JUN-22,07:23:16,MOTN-200,"(S012SD01, 329) Too long anticipate time"
15-JUN-22,07:23:10,MOTN-200,"(S012SD01, 283) Too long anticipate time"
15-JUN-22,07:23:02,MOTN-200,"(S012SD01, 252) Too long anticipate time"
15-JUN-22,07:23:02,MOTN-200,"(S012SD01, 244) Too long anticipate time"
15-JUN-22,07:22:58,MOTN-200,"(S012SD01, 208) Too long anticipate time"
15-JUN-22,07:22:50,MOTN-200,"(S012SD01, 185) Too long anticipate time"
15-JUN-22,07:22:48,MOTN-200,"(S012SD01, 156) Too long anticipate time"
15-JUN-22,07:22:42,MOTN-200,"(S012SD01, 117) Too long anticipate time"
15-JUN-22,07:22:36,MOTN-200,"(S012SD01, 76) Too long anticipate time"
15-JUN-22,07:22:36,MOTN-200,"(S012SD01, 75) Too long anticipate time"
15-JUN-22,07:22:34,MOTN-056,Speed limits used (G:1)
15-JUN-22,07:22:34,MOTN-056,Speed limits used (G:1)
15-JUN-22,07:22:06,SYST-014,Program select failed
15-JUN-22,07:20:06,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,07:13:00,SEAL-349,Proc logger process_id not found (E2)
15-JUN-22,07:13:00,SEAL-270,Flow command above maximum (E2)
15-JUN-22,07:12:58,SRVO-171,MotorSpd lim/DVC(G:1 A:3)
15-JUN-22,07:12:56,SEAL-349,Proc logger process_id not found (E2)
15-JUN-22,07:12:54,SEAL-270,Flow command above maximum (E2)
15-JUN-22,07:12:46,MOTN-200,"(S012SD01, 420) Too long anticipate time"
15-JUN-22,07:12:38,MOTN-200,"(S012SD01, 378) Too long anticipate time"
15-JUN-22,07:12:36,MOTN-200,"(S012SD01, 359) Too long anticipate time"
