Date,Time,Error
,,LOGBOOK.LS     Robot Name FM10200RBC01 15-JUN-22 11:59:36
15-JUN-22,08:01 :02,"DCS SSO Fence Open 1,1"
15-JUN-22,08:01 :02,Controlled Stop
15-JUN-22,07:33 :52,Tool frame 2(G:1)
15-JUN-22,07:32 :44,User frame 1(G:1)
15-JUN-22,07:32 :26,User frame 0(G:1)
15-JUN-22,07:32 :26,Tool frame 1(G:1)
15-JUN-22,07:23 :34,Tool frame 2(G:1)
15-JUN-22,07:22 :26,User frame 1(G:1)
15-JUN-22,07:22 :08,User frame 0(G:1)
15-JUN-22,07:22 :08,Tool frame 1(G:1)
15-JUN-22,07:12 :52,Tool frame 2(G:1)
15-JUN-22,07:11 :44,User frame 1(G:1)
15-JUN-22,07:11 :38,Menu changed 'USER'
15-JUN-22,07:10 :54,Menu changed 'ALARM Recovery'
15-JUN-22,07:10 :26,Tool frame 1(G:1)
15-JUN-22,07:09 :42,Tool frame 2(G:1)
15-JUN-22,07:08 :28,Menu changed 'USER'
15-JUN-22,07:05 :54,Menu changed 'ALARM Recovery'
15-JUN-22,07:05 :54,Sealer Not Reset Check SCA U (
15-JUN-22,07:04 :52,User frame 0(G:1)
15-JUN-22,07:04 :52,Tool frame 1(G:1)
15-JUN-22,06:59 :14,"DCS SSO Fence Open 1,1"
15-JUN-22,06:59 :10,"DCS SSO Fence Open 1,1"
15-JUN-22,06:43 :04,"DCS SSO Fence Open 1,1"
15-JUN-22,06:43 :00,"DCS SSO Fence Open 1,1"
15-JUN-22,06:25 :52,"DCS SSO Fence Open 1,1"
14-JUN-22,17:22 :06,"DCS SSO Fence Open 1,1"
14-JUN-22,17:21 :36,"DCS SSO Fence Open 1,1"
14-JUN-22,16:43 :24,"DCS SSO Fence Open 1,1"
14-JUN-22,16:39 :12,"DCS SSO Ext Emergency Stop 1,1"
14-JUN-22,16:39 :12,Controlled Stop
14-JUN-22,15:36 :02,Tool frame 2(G:1)
14-JUN-22,15:34 :54,User frame 1(G:1)
14-JUN-22,15:34 :36,User frame 0(G:1)
14-JUN-22,15:34 :36,Tool frame 1(G:1)
14-JUN-22,15:28 :44,Tool frame 2(G:1)
14-JUN-22,15:27 :36,User frame 1(G:1)
14-JUN-22,15:27 :18,User frame 0(G:1)
14-JUN-22,15:27 :18,Tool frame 1(G:1)
14-JUN-22,15:23 :20,Tool frame 2(G:1)
14-JUN-22,15:22 :12,User frame 1(G:1)
14-JUN-22,15:21 :54,User frame 0(G:1)
14-JUN-22,15:21 :54,Tool frame 1(G:1)
14-JUN-22,15:14 :06,Tool frame 2(G:1)
14-JUN-22,15:13 :00,User frame 1(G:1)
14-JUN-22,15:12 :40,User frame 0(G:1)
14-JUN-22,15:12 :40,Tool frame 1(G:1)
14-JUN-22,15:03 :42,Tool frame 2(G:1)
14-JUN-22,15:02 :34,User frame 1(G:1)
14-JUN-22,15:02 :16,User frame 0(G:1)
14-JUN-22,15:02 :16,Tool frame 1(G:1)
14-JUN-22,15:00 :38,Tool frame 2(G:1)
14-JUN-22,14:59 :30,User frame 1(G:1)
14-JUN-22,14:59 :12,User frame 0(G:1)
14-JUN-22,14:59 :12,Tool frame 1(G:1)
14-JUN-22,14:52 :54,Tool frame 2(G:1)
14-JUN-22,14:51 :46,User frame 1(G:1)
14-JUN-22,14:51 :28,User frame 0(G:1)
14-JUN-22,14:51 :28,Tool frame 1(G:1)
14-JUN-22,14:48 :48,"DCS SSO Fence Open 1,1"
14-JUN-22,14:44 :40,"DCS SSO Fence Open 1,1"
14-JUN-22,14:44 :40,Controlled Stop
14-JUN-22,14:42 :12,Tool frame 2(G:1)
14-JUN-22,14:41 :04,User frame 1(G:1)
14-JUN-22,14:40 :44,User frame 0(G:1)
14-JUN-22,14:40 :44,Tool frame 1(G:1)
14-JUN-22,14:39 :52,Menu changed 'USER'
14-JUN-22,14:39 :18,Menu changed 'SL_PURGE'
14-JUN-22,14:39 :16,EDIT is pressed
14-JUN-22,14:39 :16,3 is entered
14-JUN-22,14:38 :44,3 is entered
14-JUN-22,14:38 :40,PREV is pressed
14-JUN-22,14:35 :50,Tool frame 2(G:1)
14-JUN-22,14:32 :02,User frame 1(G:1)
14-JUN-22,14:31 :56,Menu changed 'USER'
14-JUN-22,14:30 :52,Menu changed 'SL_PURGE'
14-JUN-22,14:30 :50,EDIT is pressed
14-JUN-22,14:30 :46,Menu changed 'USER'
14-JUN-22,14:30 :26,RESET is pressed
14-JUN-22,14:30 :24,RESET is pressed
14-JUN-22,14:30 :24,RESET is pressed
14-JUN-22,14:30 :24,RESET is pressed
14-JUN-22,14:30 :24,RESET is pressed
14-JUN-22,14:30 :24,RESET is pressed
14-JUN-22,14:30 :24,RESET is pressed
14-JUN-22,14:30 :24,Menu changed 'SL_RFILLCHK'
14-JUN-22,14:30 :24,EDIT is pressed
14-JUN-22,14:20 :34,Menu changed 'ALARM Recovery'
14-JUN-22,14:20 :34,Sealer Not Reset Check SCA U (
14-JUN-22,14:19 :32,User frame 0(G:1)
14-JUN-22,14:19 :32,Tool frame 1(G:1)
14-JUN-22,14:19 :30,Menu changed 'USER'
14-JUN-22,14:18 :34,Menu changed 'S012SD02'
14-JUN-22,14:18 :34,EDIT is pressed
14-JUN-22,14:18 :32,Menu changed 'USER'
14-JUN-22,14:18 :32,Menu changed 'S012SD02'
14-JUN-22,14:18 :30,2 is entered
14-JUN-22,14:18 :28,Menu changed 'USER'
14-JUN-22,14:18 :06,' CONTINUE' is selected in '  The robo
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :02,RESET is pressed
14-JUN-22,14:18 :00,RESET is pressed
14-JUN-22,14:18 :00,RESET is pressed
14-JUN-22,14:18 :00,RESET is pressed
14-JUN-22,14:18 :00,Operation mode AUTO Selected
14-JUN-22,14:18 :00,RESET is pressed
14-JUN-22,14:18 :00,Single step OFF
14-JUN-22,14:18 :00,STEP is pressed
14-JUN-22,14:18 :00,DEADMAN defeated
14-JUN-22,14:18 :00,TP disabled in T1/T2 mode
14-JUN-22,14:17 :58,Menu changed 'S012SD02'
14-JUN-22,14:17 :58,EDIT is pressed
14-JUN-22,14:17 :56,Single step ON
14-JUN-22,14:17 :56,"SHIFT,STEP is pressed"
14-JUN-22,14:17 :56,SHIFT +% is pressed
14-JUN-22,14:17 :56,SHIFT +% is pressed
14-JUN-22,14:17 :56,SHIFT +% is pressed
14-JUN-22,14:17 :56,SHIFT +% is pressed
14-JUN-22,14:17 :56,SHIFT +% is pressed
14-JUN-22,14:17 :56,SHIFT +% is pressed
14-JUN-22,14:17 :56,SHIFT +% is pressed
14-JUN-22,14:17 :56,SHIFT +% is pressed
14-JUN-22,14:17 :54,Tool frame 2(G:1)
14-JUN-22,14:17 :54,Override 100%
14-JUN-22,14:17 :54,SHIFT +% is pressed
14-JUN-22,14:17 :54,SHIFT +% is pressed
14-JUN-22,14:17 :54,Override 50%
14-JUN-22,14:17 :54,SHIFT +% is pressed
14-JUN-22,14:17 :54,Menu changed 'USER'
14-JUN-22,14:17 :54,"SHIFT,FWD is pressed"
14-JUN-22,14:17 :54,'   YES' is selected in ' The cursor i
14-JUN-22,14:17 :54,"SHIFT,FWD is pressed"
14-JUN-22,14:17 :50,Menu changed 'SL_PURGE'
14-JUN-22,14:17 :50,EDIT is pressed
14-JUN-22,14:17 :50,"SHIFT,RESET is pressed"
14-JUN-22,14:17 :50,"SHIFT,RESET is pressed"
14-JUN-22,14:17 :50,Operation mode T1 Selected
14-JUN-22,14:17 :50,Deadman switch released
14-JUN-22,14:17 :48,Menu changed 'ALARM Recovery'
14-JUN-22,14:17 :48,DEADMAN defeated
14-JUN-22,14:17 :48,TP enabled in AUTO mode
14-JUN-22,14:17 :48,Override 10%
14-JUN-22,14:17 :48,TP is enabled while running (
14-JUN-22,14:17 :42,Menu changed 'SL_PURGE'
14-JUN-22,14:17 :42,EDIT is pressed
14-JUN-22,14:17 :08,Menu changed 'USER'
14-JUN-22,14:17 :08,Menu changed 'STYLE012'
14-JUN-22,14:17 :08,2 is entered
14-JUN-22,14:17 :06,Menu changed 'USER'
14-JUN-22,14:10 :26,Menu changed 'I/O Cell Outputs'
14-JUN-22,14:10 :26,UF6 is pressed
14-JUN-22,14:10 :24,1 is entered
14-JUN-22,14:10 :22,ITEM is pressed
14-JUN-22,14:10 :22,PREV is pressed
14-JUN-22,14:10 :20,PREV is pressed
14-JUN-22,14:10 :20,PREV is pressed
14-JUN-22,14:10 :10,ENTER is pressed
14-JUN-22,14:10 :08,PREV is pressed
14-JUN-22,14:10 :00,ENTER is pressed
14-JUN-22,14:09 :58,ENTER is pressed
14-JUN-22,14:09 :34,Menu changed 'SYSTEM Variables'
14-JUN-22,14:09 :34,'Variables' is selected in 'SYSTEM' MEN
14-JUN-22,14:09 :34,ENTER is pressed
14-JUN-22,14:09 :22,RESET is pressed
14-JUN-22,14:09 :20,RESET is pressed
14-JUN-22,14:09 :16,Menu changed 'S012SD01'
14-JUN-22,14:09 :16,EDIT is pressed
14-JUN-22,10:29 :12,Menu changed 'ALARM Recovery'
14-JUN-22,10:28 :54,User frame 1(G:1)
14-JUN-22,10:28 :36,User frame 0(G:1)
14-JUN-22,10:28 :36,Tool frame 1(G:1)
14-JUN-22,10:05 :48,Tool frame 2(G:1)
14-JUN-22,10:04 :40,User frame 1(G:1)
14-JUN-22,10:04 :22,User frame 0(G:1)
14-JUN-22,10:04 :22,Tool frame 1(G:1)
14-JUN-22,09:59 :34,"DCS SSO Fence Open 1,1"
14-JUN-22,09:59 :00,"DCS SSO Fence Open 1,1"
14-JUN-22,09:57 :50,"DCS SSO Fence Open 1,1"
14-JUN-22,09:57 :28,"DCS SSO Fence Open 1,1"
14-JUN-22,09:53 :56,"DCS SSO Fence Open 1,1"
14-JUN-22,09:53 :44,"DCS SSO Fence Open 1,1"
14-JUN-22,09:53 :14,"DCS SSO Fence Open 1,1"
14-JUN-22,09:51 :20,"DCS SSO Fence Open 1,1"
14-JUN-22,09:51 :20,Controlled Stop
14-JUN-22,09:46 :32,Tool frame 2(G:1)
14-JUN-22,09:45 :24,User frame 1(G:1)
14-JUN-22,09:45 :04,User frame 0(G:1)
14-JUN-22,09:45 :04,Tool frame 1(G:1)
14-JUN-22,09:37 :08,"DCS SSO Fence Open 1,1"
14-JUN-22,09:35 :30,"DCS SSO Fence Open 1,1"
14-JUN-22,09:35 :30,Controlled Stop
14-JUN-22,09:29 :54,Tool frame 2(G:1)
14-JUN-22,09:28 :46,User frame 1(G:1)
14-JUN-22,09:28 :26,User frame 0(G:1)
14-JUN-22,09:28 :26,Tool frame 1(G:1)
14-JUN-22,09:26 :40,"DCS SSO Fence Open 1,1"
14-JUN-22,09:26 :00,"DCS SSO Fence Open 1,1"
14-JUN-22,09:26 :00,Controlled Stop
14-JUN-22,09:21 :58,Tool frame 2(G:1)
14-JUN-22,09:20 :50,User frame 1(G:1)
14-JUN-22,09:20 :30,User frame 0(G:1)
14-JUN-22,09:20 :30,Tool frame 1(G:1)
14-JUN-22,09:11 :22,Tool frame 2(G:1)
14-JUN-22,09:10 :14,User frame 1(G:1)
14-JUN-22,09:09 :54,User frame 0(G:1)
14-JUN-22,09:09 :54,Tool frame 1(G:1)
14-JUN-22,09:07 :42,"DCS SSO Fence Open 1,1"
14-JUN-22,09:07 :34,"DCS SSO Fence Open 1,1"
14-JUN-22,09:07 :28,"DCS SSO Fence Open 1,1"
14-JUN-22,09:07 :18,"DCS SSO Fence Open 1,1"
14-JUN-22,09:05 :50,"DCS SSO Fence Open 1,1"
14-JUN-22,09:05 :50,Controlled Stop
14-JUN-22,09:01 :30,"DCS SSO Fence Open 1,1"
14-JUN-22,08:58 :32,"DCS SSO Fence Open 1,1"
14-JUN-22,08:58 :32,Controlled Stop
14-JUN-22,08:56 :46,"DCS SSO Fence Open 1,1"
14-JUN-22,08:56 :36,"DCS SSO Fence Open 1,1"
14-JUN-22,08:55 :44,"DCS SSO Fence Open 1,1"
14-JUN-22,08:55 :42,Controlled Stop
14-JUN-22,08:44 :50,"DCS SSO Fence Open 1,1"
14-JUN-22,08:44 :50,Controlled Stop
14-JUN-22,08:42 :22,Tool frame 2(G:1)
14-JUN-22,08:41 :16,User frame 1(G:1)
14-JUN-22,08:40 :56,User frame 0(G:1)
14-JUN-22,08:40 :56,Tool frame 1(G:1)
14-JUN-22,08:25 :32,Tool frame 2(G:1)
14-JUN-22,08:24 :26,User frame 1(G:1)
14-JUN-22,08:24 :06,User frame 0(G:1)
14-JUN-22,08:24 :06,Tool frame 1(G:1)
14-JUN-22,08:14 :48,"DCS SSO Fence Open 1,1"
14-JUN-22,08:14 :48,Controlled Stop
14-JUN-22,08:09 :20,Tool frame 2(G:1)
14-JUN-22,08:08 :12,User frame 1(G:1)
14-JUN-22,08:07 :54,User frame 0(G:1)
14-JUN-22,08:07 :54,Tool frame 1(G:1)
14-JUN-22,08:05 :50,Tool frame 2(G:1)
14-JUN-22,08:04 :42,User frame 1(G:1)
14-JUN-22,08:04 :22,User frame 0(G:1)
14-JUN-22,08:04 :22,Tool frame 1(G:1)
14-JUN-22,07:59 :54,Tool frame 2(G:1)
14-JUN-22,07:58 :46,User frame 1(G:1)
14-JUN-22,07:58 :28,User frame 0(G:1)
14-JUN-22,07:58 :28,Tool frame 1(G:1)
14-JUN-22,07:41 :18,Tool frame 2(G:1)
14-JUN-22,07:40 :10,User frame 1(G:1)
14-JUN-22,07:39 :52,User frame 0(G:1)
14-JUN-22,07:39 :52,Tool frame 1(G:1)
14-JUN-22,07:29 :26,Tool frame 2(G:1)
14-JUN-22,07:28 :20,User frame 1(G:1)
14-JUN-22,07:27 :58,User frame 0(G:1)
14-JUN-22,07:27 :58,Tool frame 1(G:1)
14-JUN-22,07:23 :58,Tool frame 2(G:1)
14-JUN-22,07:22 :48,User frame 1(G:1)
14-JUN-22,06:44 :12,Tool frame 1(G:1)
14-JUN-22,06:43 :18,Tool frame 2(G:1)
13-JUN-22,17:34 :46,"DCS SSO Fence Open 1,1"
13-JUN-22,17:34 :46,Controlled Stop
13-JUN-22,17:04 :54,Tool frame 1(G:1)
13-JUN-22,17:04 :10,Tool frame 2(G:1)
13-JUN-22,15:04 :32,Tool frame 1(G:1)
13-JUN-22,15:03 :48,Tool frame 2(G:1)
13-JUN-22,13:04 :08,Tool frame 1(G:1)
13-JUN-22,13:03 :24,Tool frame 2(G:1)
13-JUN-22,13:01 :58,User frame 0(G:1)
13-JUN-22,13:01 :58,Tool frame 1(G:1)
13-JUN-22,11:02 :58,Tool frame 2(G:1)
13-JUN-22,11:01 :50,User frame 1(G:1)
13-JUN-22,09:58 :52,Tool frame 1(G:1)
13-JUN-22,09:58 :08,Tool frame 2(G:1)
13-JUN-22,09:56 :38,User frame 0(G:1)
13-JUN-22,09:56 :38,Tool frame 1(G:1)
13-JUN-22,07:57 :38,Tool frame 2(G:1)
13-JUN-22,07:56 :30,User frame 1(G:1)
13-JUN-22,07:56 :12,User frame 0(G:1)
13-JUN-22,07:56 :12,Tool frame 1(G:1)
13-JUN-22,07:54 :12,"DCS SSO Fence Open 1,1"
13-JUN-22,07:50 :24,"DCS SSO Fence Open 1,1"
13-JUN-22,07:50 :24,Controlled Stop
13-JUN-22,07:37 :40,"DCS SSO Fence Open 1,1"
13-JUN-22,07:37 :40,Controlled Stop
13-JUN-22,07:25 :40,"DCS SSO Fence Open 1,1"
13-JUN-22,07:25 :40,Controlled Stop
13-JUN-22,07:16 :22,Tool frame 2(G:1)
13-JUN-22,07:15 :14,User frame 1(G:1)
13-JUN-22,06:54 :40,"DCS SSO Fence Open 1,1"
13-JUN-22,06:54 :38,Controlled Stop
13-JUN-22,06:49 :30,"DCS SSO Fence Open 1,1"
13-JUN-22,06:49 :28,Controlled Stop
13-JUN-22,06:21 :26,Tool frame 1(G:1)
13-JUN-22,06:20 :44,Tool frame 2(G:1)
13-JUN-22,04:21 :04,Tool frame 1(G:1)
13-JUN-22,04:20 :20,Tool frame 2(G:1)
13-JUN-22,02:20 :40,Tool frame 1(G:1)
13-JUN-22,02:19 :58,Tool frame 2(G:1)
13-JUN-22,00:20 :20,Tool frame 1(G:1)
13-JUN-22,00:19 :34,Tool frame 2(G:1)
12-JUN-22,22:19 :56,Tool frame 1(G:1)
12-JUN-22,22:19 :12,Tool frame 2(G:1)
12-JUN-22,20:19 :32,Tool frame 1(G:1)
12-JUN-22,20:18 :48,Tool frame 2(G:1)
12-JUN-22,18:19 :10,Tool frame 1(G:1)
12-JUN-22,18:18 :26,Tool frame 2(G:1)
12-JUN-22,16:18 :46,Tool frame 1(G:1)
12-JUN-22,16:18 :02,Tool frame 2(G:1)
12-JUN-22,14:18 :28,Tool frame 1(G:1)
12-JUN-22,14:17 :40,Tool frame 2(G:1)
